key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_pid,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_resp_duration,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration
0.0007,return,1.1975,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,1.2268,return,1.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,2.4264,return,1.4617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,3.909,return,2.1428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,957.1822,return,1.6036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",958.8611,0,3.8326,,up,1.5,,stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,,,,,,,,,,
,,,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,965.0194,1,0.0178,,up,1,,stimuli/card_100_transparent.png,200,100,1,0,1,0,1,,,,,,,,,,,,,,
,,,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,966.8678,2,0.4661,,up,1,,stimuli/card_100_transparent.png,300,100,2,0,2,0,1,,,,,,,,,,,,,,
,,,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,969.1517,3,0.1189,,right,1,,stimuli/card_0_transparent.png,300,0,3,0,3,0,1,,,,,,,,,,,,,,
,,,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,971.1008,4,0.3257,,left,1,,stimuli/card_100_transparent.png,400,100,4,0,4,0,1,,,,,,,,,,,,,,
,,,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,973.2509,5,0.3101,,left,0.5,,stimuli/card_10_transparent.png,410,10,5,0,5,0,1,,,,,,,,,,,,,,
,,,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,974.8833,6,0.3501,,up,1.5,,stimuli/card_100_transparent.png,510,100,6,0,6,0,1,,,,,,,,,,,,,,
,,,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,977.5656,7,0.64,,up,1,,stimuli/card_10_transparent.png,520,10,7,0,7,0,1,,,,,,,,,,,,,,
,,,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,980.0141,8,2.3607,,up,1.5,,stimuli/card_10_transparent.png,530,10,8,0,8,0,1,,,,,,,,,,,,,,
,,,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,984.6975,9,1.4487,,left,0.5,,stimuli/card_10_transparent.png,540,10,9,0,9,0,1,,,,,,,,,,,,,,
,,,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,987.4644,10,1.1682,,right,0.5,,stimuli/card_100_transparent.png,640,100,10,0,10,0,1,,,,,,,,,,,,,,
,,,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,989.9626,11,0.1175,,right,1,,stimuli/card_100_transparent.png,740,100,11,0,11,0,1,,,,,,,,,,,,,,
,,,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,991.9109,12,1.0251,,right,1.5,,stimuli/card_100_transparent.png,840,100,12,0,12,0,1,,,,,,,,,,,,,,
,,,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,995.2435,13,1.2333,,right,1,,stimuli/card_100_transparent.png,940,100,13,0,13,0,1,,,,,,,,,,,,,,
,,,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,998.311,14,0.4328,,right,1,,stimuli/card_100_transparent.png,1040,100,14,0,14,0,1,,,,,,,,,,,,,,
,,,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,"[6,15]","[[1,3,2],[3,1,2]]",1005.6107,0,0.078,,right,0.5,,stimuli/card_10_transparent.png,10,10,0,0,0,0,1,,1000.5953,,,,,,,,,,,,
,,,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,1007.0073,1,0.203,,up,1,,stimuli/card_0_transparent.png,10,0,1,0,1,0,1,,,,,,,,,,,,,,
,,,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,1009.0406,2,0.901,,left,1.5,,stimuli/card_100_transparent.png,110,100,2,0,2,0,1,,,,,,,,,,,,,,
,,,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,1012.2723,3,0.0823,,left,1,,stimuli/card_100_transparent.png,210,100,3,0,3,0,1,,,,,,,,,,,,,,
,,,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,1014.1727,4,0.545,,left,1,,stimuli/card_100_transparent.png,310,100,4,0,4,0,1,,,,,,,,,,,,,,
,,,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,1016.5386,5,0.3669,,left,1.5,,stimuli/card_100_transparent.png,410,100,5,0,5,0,1,,,,,,,,,,,,,,
,,,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,1019.2369,6,0.8763,,left,1.5,,stimuli/card_0_transparent.png,410,0,6,0,6,0,1,,,,,,,,,,,,,,
,,,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,1022.4375,7,0.2938,,up,0.5,,stimuli/card_100_transparent.png,510,100,7,0,7,0,1,,,,,,,,,,,,,,
,,,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,1024.0535,8,0.0532,,up,1.5,,stimuli/card_100_transparent.png,610,100,8,0,8,0,1,,,,,,,,,,,,,,
,,,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,1026.4185,9,0.1996,,up,1,,stimuli/card_100_transparent.png,710,100,9,0,9,0,1,,,,,,,,,,,,,,
,,,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,1028.4348,10,0.0666,,up,1.5,,stimuli/card_100_transparent.png,810,100,10,0,10,0,1,,,,,,,,,,,,,,
,,,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,1030.8338,11,0.3206,,up,1.5,,stimuli/card_0_transparent.png,810,0,11,0,11,0,1,,,,,,,,,,,,,,
,,,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,1033.4837,12,0.568,,right,0.5,,stimuli/card_10_transparent.png,820,10,12,0,12,0,1,,,,,,,,,,,,,,
,,,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,1035.383,13,0.0359,,right,1,,stimuli/card_10_transparent.png,830,10,13,0,13,0,1,,,,,,,,,,,,,,
,,,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,1037.2499,14,0.2956,,up,1,,stimuli/card_100_transparent.png,930,100,14,0,14,0,1,,,,,,,,,,,,,,
,,,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1039.3658,,,1044.3645,space,4.938,,,,,,,
,,,,Reactiontimetest,B,2024-08-14_20h14.05.086,Slot Machine Game,2023.1.3,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1049.3128,1,"[0,1,2,3,4,5,6,7,8,9]",space,3.1305,
