key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.rt,key_resp_practice_slots.duration,key_resp_practice_slots.keys,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,BlockCondition,BlockOrderIndices,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration,blockNumber,blockAssignment,currentCondition,main_reward_seqs,key_resp_slots_presentation.started,key_resp_slots_presentation.keys,key_resp_slots_presentation.rt,key_resp_slots_presentation.duration,Main_presentationInterval,rewardPresentationTime,Main_reward_seq,Random value generated,Main_reward_Img,Main_Cumul_Reward,Main_currentTrialReward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
0.0004,right,4.0539,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,145.7167,right,17.0243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,162.7784,right,13.0779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,175.8867,right,286.1191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",462.0512,1.4721,,left,1,,stimuli/card_10_transparent.png,10,10,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,464.8641,1.6806,,up,1,,stimuli/card_100_transparent.png,110,100,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,467.8621,1.3483,,up,0.5,,stimuli/card_100_transparent.png,210,100,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,470.0296,0.2847,,up,0.5,,stimuli/card_100_transparent.png,310,100,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,471.1305,0.0177,,up,1.5,,stimuli/card_100_transparent.png,410,100,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,472.9623,0.3502,,up,0.5,,stimuli/card_100_transparent.png,510,100,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,474.1294,0.485,,up,0.5,,stimuli/card_100_transparent.png,610,100,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,475.4293,0.5599,,up,1,,stimuli/card_10_transparent.png,620,10,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,477.3133,0.3157,,right,1.5,,stimuli/card_0_transparent.png,620,0,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,479.4468,0.2334,,left,0.5,,stimuli/card_10_transparent.png,630,10,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,480.4974,0.4623,,left,0.5,,stimuli/card_10_transparent.png,640,10,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,481.7803,0.1461,,up,1.5,,stimuli/card_0_transparent.png,640,0,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,483.7453,0.3498,,right,1.5,,stimuli/card_100_transparent.png,740,100,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,485.9131,0.5809,0.0005,right,0.5,,stimuli/card_10_transparent.png,750,10,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,487.313,0.4204,,right,1,,stimuli/card_100_transparent.png,850,100,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,"[6,15]","[[1,3,2],[3,1,2]]",494.0739,0.7774,,left,0.5,,stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,489.0461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,495.6629,0.1306,,right,1,,stimuli/card_0_transparent.png,100,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,497.1124,0.6588,,left,1.5,,stimuli/card_100_transparent.png,200,100,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,499.5783,0.196,,left,1.5,,stimuli/card_100_transparent.png,300,100,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,501.5947,0.3162,,left,1,,stimuli/card_10_transparent.png,310,10,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,503.2297,0.0493,,left,1,,stimuli/card_10_transparent.png,320,10,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,504.5961,0.4158,,left,0.5,,stimuli/card_0_transparent.png,320,0,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,505.8289,0.8348,,right,1.5,,stimuli/card_10_transparent.png,330,10,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,508.4784,0.8402,,left,1.5,,stimuli/card_0_transparent.png,330,0,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,511.1288,1.6032,,up,1.5,,stimuli/card_100_transparent.png,430,100,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,514.5452,0.4647,,up,0.5,,stimuli/card_100_transparent.png,530,100,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,515.8287,0.3647,,up,1.5,,stimuli/card_100_transparent.png,630,100,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,518.011,0.2143,,up,0.5,,stimuli/card_100_transparent.png,730,100,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,519.0445,0.6147,,right,1,,stimuli/card_100_transparent.png,830,100,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,520.9785,0.435,,right,0.5,,stimuli/card_0_transparent.png,830,0,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522.2276,,,527.2282,space,2.4752,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529.7293,3,"[0,4,6,3,5,7,8,1,9,2]",529.7293,space,2.2118,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,"[12,15]","[[2,1,3],[2,3,1]]",531.9838,left,0.7029,,0.5,0.3,"[2,1,3]",0.496376019,stimuli/card_10_transparent.png,10,10,0,0,0,0,1,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533.5151,right,0.2612,,1.5,0.3,"[2,1,3]",0.019965367,stimuli/card_100_transparent.png,110,100,1,0,1,0,1,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535.5963,right,0.6461,,0.5,0.3,"[2,1,3]",0.5637073,stimuli/card_0_transparent.png,110,0,2,0,2,0,1,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537.063,left,0.6004,,1.5,0.3,"[2,1,3]",0.737359158,stimuli/card_10_transparent.png,120,10,3,0,3,0,1,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539.4779,up,0.0936,,1,0.3,"[2,1,3]",0.601793448,stimuli/card_100_transparent.png,220,100,4,0,4,0,1,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.896,up,0.3838,,1,0.3,"[2,1,3]",0.464701141,stimuli/card_100_transparent.png,320,100,5,0,5,0,1,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542.5953,up,0.4508,,0.5,0.3,"[2,1,3]",0.409347417,stimuli/card_100_transparent.png,420,100,6,0,6,0,1,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.8608,up,0.4374,,1,0.3,"[2,1,3]",0.716109318,stimuli/card_100_transparent.png,520,100,7,0,7,0,1,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545.6124,up,2.9151,0.0014,1,0.3,"[2,1,3]",0.468001446,stimuli/card_100_transparent.png,620,100,8,0,8,0,1,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549.8454,up,0.1007,,1,0.3,"[2,1,3]",0.919960355,stimuli/card_100_transparent.png,720,100,9,0,9,0,1,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551.2605,up,0.0572,,0.5,0.3,"[2,1,3]",0.004565819,stimuli/card_0_transparent.png,720,0,10,0,10,0,1,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552.1269,up,0.7248,,0.5,0.3,"[2,1,3]",0.408234976,stimuli/card_100_transparent.png,820,100,11,0,11,0,1,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553.6601,right,0.1179,,0.5,0.3,"[2,3,1]",0.85785114,stimuli/card_100_transparent.png,920,100,12,0,12,0,1,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554.5955,right,0.298,,1,0.3,"[2,3,1]",0.787353108,stimuli/card_100_transparent.png,1020,100,13,0,13,0,1,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.2116,right,0.0623,,1,0.3,"[2,3,1]",0.35650182,stimuli/card_100_transparent.png,1120,100,14,0,14,0,1,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.5948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,"[5,15]","[[1,2,3],[3,1,2]]",562.6118,left,0.8999,0.0024,1,0.3,"[1,2,3]",0.239812823,stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564.8272,left,1.0894,,0.5,0.3,"[1,2,3]",0.996295434,stimuli/card_100_transparent.png,200,100,1,0,1,0,1,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.7277,left,0.1343,,1,0.3,"[1,2,3]",0.479357857,stimuli/card_100_transparent.png,300,100,2,0,2,0,1,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.177,left,0.3553,,1,0.3,"[1,2,3]",0.96674504,stimuli/card_100_transparent.png,400,100,3,0,3,0,1,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.8432,left,0.4867,,1,0.3,"[1,2,3]",0.915282786,stimuli/card_100_transparent.png,500,100,4,0,4,0,1,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571.6431,left,1.2363,,1,0.3,"[3,1,2]",0.846161329,stimuli/card_0_transparent.png,500,0,5,0,5,0,1,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.1947,left,0.7509,,0.5,0.3,"[3,1,2]",0.509022121,stimuli/card_0_transparent.png,500,0,6,0,6,0,1,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575.7623,up,0.3348,,0.5,0.3,"[3,1,2]",0.065346432,stimuli/card_0_transparent.png,500,0,7,0,7,0,1,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.9116,right,0.2842,,1,0.3,"[3,1,2]",0.568693619,stimuli/card_10_transparent.png,510,10,8,0,8,0,1,,,,,
,,,,a,2023-10-23_17h05.11.343,SlotMachine_updated,2023.1.3,Win32,58.41121495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578.5111,right,0.3704,,1,0.3,"[3,1,2]",0.603156852,stimuli/card_10_transparent.png,520,10,9,0,9,0,1,,,,,
