key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_pid,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_keypress_time,practice_resp_keys,prac_presentationInterval,practice_reward_seq,reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,block_break_started,practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_keypress_time,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block_reward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
0.0002,return,1.1709,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,1.1853,return,0.4971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,1.7024,return,0.1821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,1.9188,return,0.1552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,11419.2313,space,9.8441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",11429.1965,0,1.4116,11430.6299,up,1.5,"[2,1,3]",stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,11432.4261,1,1.2348,11433.6841,up,1,"[2,1,3]",stimuli/card_100_transparent.png,200,100,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,11434.9844,2,1.2683,11436.2661,right,1.5,"[2,1,3]",stimuli/card_0_transparent.png,200,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,11438.0679,3,0.6836,11438.7894,left,1.5,"[2,1,3]",stimuli/card_0_transparent.png,200,0,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,11440.6516,4,1.0512,11441.7233,up,1.5,"[2,1,3]",stimuli/card_100_transparent.png,300,100,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,11443.513,5,0.9246,11444.4652,up,0.5,"[2,1,3]",stimuli/card_100_transparent.png,400,100,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,11445.2525,6,0.6024,11445.8886,up,1.5,"[2,1,3]",stimuli/card_100_transparent.png,500,100,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,11447.6679,7,0.6721,11448.3632,up,0.5,"[2,1,3]",stimuli/card_0_transparent.png,500,0,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,11449.1521,8,0.8179,11449.9959,up,1,"[2,1,3]",stimuli/card_100_transparent.png,600,100,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,11451.2793,9,0.6537,11451.9505,up,1.5,"[2,3,1]",stimuli/card_0_transparent.png,600,0,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,11453.7459,10,0.7937,11454.5737,up,1.5,"[2,3,1]",stimuli/card_0_transparent.png,600,0,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,11456.3647,11,0.7898,11457.175,up,1,"[2,3,1]",stimuli/card_0_transparent.png,600,0,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,11458.4599,12,0.6552,11459.1345,up,1.5,"[2,3,1]",stimuli/card_0_transparent.png,600,0,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,11460.9263,13,0.9553,11461.9004,up,1.5,"[2,3,1]",stimuli/card_0_transparent.png,600,0,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,11463.7026,14,0.6821,11464.4077,right,0.5,"[2,3,1]",stimuli/card_100_transparent.png,700,100,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,"[6,15]","[[1,3,2],[3,1,2]]",11470.2157,0,3.6996,11473.9471,left,1,"[1,3,2]",stimuli/card_100_transparent.png,100,100,0,0,0,0,1,11465.2098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,11475.2407,1,0.9222,11476.1979,up,1.5,"[1,3,2]",stimuli/card_0_transparent.png,100,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,11478.0019,2,0.5039,11478.5407,right,1.5,"[1,3,2]",stimuli/card_10_transparent.png,110,10,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,11480.3379,3,0.7716,11481.1419,right,1.5,"[1,3,2]",stimuli/card_10_transparent.png,120,10,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,11482.9382,4,0.6,11483.5866,right,0.5,"[1,3,2]",stimuli/card_10_transparent.png,130,10,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,11484.3784,5,0.6431,11485.0421,right,0.5,"[1,3,2]",stimuli/card_0_transparent.png,130,0,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,11485.8385,6,,,,1,"[3,1,2]",,,,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,11512.3208,7,3.5829,11515.9219,right,1,"[3,1,2]",stimuli/card_10_transparent.png,140,10,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,11517.2091,8,0.5525,11517.789,right,0.5,"[3,1,2]",stimuli/card_10_transparent.png,150,10,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,11518.5835,9,0.5627,11519.1819,right,0.5,"[3,1,2]",stimuli/card_10_transparent.png,160,10,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,11519.9866,10,0.5727,11520.5921,right,1.5,"[3,1,2]",stimuli/card_10_transparent.png,170,10,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,11522.383,11,0.5266,11522.9243,right,1,"[3,1,2]",stimuli/card_100_transparent.png,270,100,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,11524.2176,12,0.9351,11525.1879,right,0.5,"[3,1,2]",stimuli/card_10_transparent.png,280,10,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,11525.9824,13,0.6621,11526.6644,right,1.5,"[3,1,2]",stimuli/card_10_transparent.png,290,10,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,11528.4606,14,0.6303,11529.1121,right,1,"[3,1,2]",stimuli/card_10_transparent.png,300,10,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11530.3971,11535.3948,space,1.4796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11536.9044,3,"[0,4,6,3,5,7,8,1,9,2]",space,0.9245,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,1,1,"[12,15]","[[2,1,3],[2,3,1]]",11537.8485,0,up,0.5439,11538.4103,1,0.3,"[2,1,3]",0.456496309,stimuli/card_100_transparent.png,100,0,0,0,0,1,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,1,1,,,11539.7068,1,up,2.3832,11542.1233,1,0.3,"[2,1,3]",0.442230295,stimuli/card_100_transparent.png,100,1,0,1,0,1,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,11543.4161,2,,,,0.5,0.3,,,,,2,0,2,0,1,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,11548.9289,3,,,,1,0.3,,,,,3,0,3,0,1,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,11554.447,4,,,,0.5,0.3,,,,,4,0,4,0,1,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,11559.9542,5,,,,1,0.3,,,,,5,0,5,0,1,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,11565.4626,6,,,,1.5,0.3,,,,,6,0,6,0,1,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,11570.977,7,,,,1.5,0.3,,,,,7,0,7,0,1,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,11576.484,8,,,,1.5,0.3,,,,,8,0,8,0,1,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,11581.9927,9,,,,0.5,0.3,,,,,9,0,9,0,1,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,1,1,,,11587.4996,10,up,0.5274,11588.0355,0.5,0.3,"[2,1,3]",0.397407688,stimuli/card_100_transparent.png,100,10,0,10,0,1,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,1,1,,,11588.8365,11,up,0.6229,11589.467,1,0.3,"[2,1,3]",0.793606064,stimuli/card_100_transparent.png,100,11,0,11,0,1,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,1,1,,,11590.7664,12,up,0.576,11591.3655,0.5,0.3,"[2,3,1]",0.939015439,stimuli/card_0_transparent.png,0,12,0,12,0,1,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,1,1,,,11592.1681,13,up,0.6023,11592.7998,1,0.3,"[2,3,1]",0.038671801,stimuli/card_100_transparent.png,100,13,0,13,0,1,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,1,1,,,11594.093,14,up,2.3841,11596.5094,1.5,0.3,"[2,3,1]",0.410429795,stimuli/card_0_transparent.png,0,14,0,14,0,1,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11598.3083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[500],0,0,0,0,1
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,2,5,"[5,15]","[[1,2,3],[3,1,2]]",11603.3113,0,up,1.5166,11604.8502,1.5,0.3,"[1,2,3]",0.419032307,stimuli/card_10_transparent.png,10,0,0,0,0,1,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,2,5,,,11606.6429,1,up,0.6029,11607.2673,1,0.3,"[1,2,3]",0.259865244,stimuli/card_10_transparent.png,10,1,0,1,0,1,,,,,,
