key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_pid,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,prac_presentationInterval,"practice_reward_seq: 2,1,3",practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,practice_resp_rt,practice_resp_duration,practice_resp_keys,reward_img,cumulative_reward,trial_reward,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_keypress_time,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block_reward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
0.0005,return,1.4031,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,1.4417,return,0.9623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,2.4244,space,0.8217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,3.2752,space,0.4791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,672.0015,return,1.0604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",673.13,0,1,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,678.6605,1,1,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,684.1774,2,0.5,,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,689.692,3,1.5,,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,695.2063,4,0.5,,4,0,4,0,1,0.6687,,right,stimuli/card_0_transparent.png,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,697.2055,5,1,,5,0,5,0,1,0.5848,,right,stimuli/card_0_transparent.png,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,699.6048,6,1.5,,6,0,6,0,1,0.0339,,right,stimuli/card_10_transparent.png,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,701.9711,7,1,,7,0,7,0,1,0.8829,,up,stimuli/card_100_transparent.png,110,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,704.6862,8,0.5,,8,0,8,0,1,0.0211,,up,stimuli/card_100_transparent.png,210,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,706.0195,9,1,,9,0,9,0,1,0.0667,,up,stimuli/card_0_transparent.png,210,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,707.903,10,1.5,,10,0,10,0,1,0.0923,,up,stimuli/card_0_transparent.png,210,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,710.3182,11,1,,11,0,11,0,1,0.083,,up,stimuli/card_10_transparent.png,220,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,712.235,12,1,,12,0,12,0,1,0.012,,up,stimuli/card_0_transparent.png,220,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,714.0678,13,1,,13,0,13,0,1,0.1763,,left,stimuli/card_10_transparent.png,230,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,716.0677,14,1,,14,0,14,0,1,0.9989,,left,stimuli/card_10_transparent.png,240,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,"[6,15]","[[1,3,2],[3,1,2]]",723.9005,0,0.5,,0,0,0,0,1,4.4749,,right,stimuli/card_100_transparent.png,100,100,,718.9006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,729.6981,1,1.5,,1,0,1,0,1,0.4253,,left,stimuli/card_100_transparent.png,200,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,732.4478,2,1,,2,0,2,0,1,0.3701,,up,stimuli/card_0_transparent.png,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,734.6452,3,1,,3,0,3,0,1,0.6087,,up,stimuli/card_0_transparent.png,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,737.062,4,0.5,,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,742.5774,5,1,,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,748.0943,6,1,,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,753.6079,7,0.5,,7,0,7,0,1,3.4923,,right,stimuli/card_10_transparent.png,210,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,758.4226,8,0.5,,8,0,8,0,1,0.202,,left,stimuli/card_0_transparent.png,210,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,759.9555,9,1.5,,9,0,9,0,1,0.5481,,up,stimuli/card_100_transparent.png,310,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,762.8373,10,0.5,,10,0,10,0,1,0.0351,,up,stimuli/card_100_transparent.png,410,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,764.189,11,1.5,,11,0,11,0,1,0.0196,,up,stimuli/card_100_transparent.png,510,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,766.537,12,1,,12,0,12,0,1,1.515,,left,stimuli/card_0_transparent.png,510,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,769.8866,13,1.5,,13,0,13,0,1,0.1018,,up,stimuli/card_100_transparent.png,610,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,772.3201,14,1.5,,14,0,14,0,1,0.0787,,up,stimuli/card_100_transparent.png,710,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774.7189,,,779.7179,space,1.6619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781.3999,3,"[0,4,6,3,5,7,8,1,9,2]",space,1.4631,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,1,1,"[12,15]","[[2,1,3],[2,3,1]]",782.8855,0,left,4.3159,,0.5,0.3,"[2,1,3]",0.646944264,stimuli/card_10_transparent.png,10,0,0,0,0,1,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,788.5317,1,,,,0.5,0.3,,,,,1,0,1,0,1,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,794.05,2,,,,1,0.3,,,,,2,0,2,0,1,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,1,1,,,799.5617,3,up,2.2294,,0.5,0.3,"[2,1,3]",0.073295913,stimuli/card_0_transparent.png,0,3,0,3,0,1,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,1,1,,,803.1103,4,up,0.7936,,1.5,0.3,"[2,1,3]",0.555222198,stimuli/card_100_transparent.png,100,4,0,4,0,1,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,1,1,,,806.2256,5,right,0.7849,,1.5,0.3,"[2,1,3]",0.041983981,stimuli/card_100_transparent.png,100,5,0,5,0,1,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,,,,,,,,,,,,,,,1,1,,,809.3426,6,left,0.5928,,0.5,0.3,"[2,1,3]",0.761036975,stimuli/card_10_transparent.png,10,6,0,6,0,1,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,,,,,,,,,,,,,,,1,1,,,811.2584,7,left,0.5978,,1.5,0.3,"[2,1,3]",0.543567976,stimuli/card_10_transparent.png,10,7,0,7,0,1,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,1,1,,,814.1914,8,left,1.0027,,1,0.3,"[2,1,3]",0.655176315,stimuli/card_10_transparent.png,10,8,0,8,0,1,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,,,,,,,,,,,,,,,,1,1,,,817.0242,9,up,1.5663,,0.5,0.3,"[2,1,3]",0.800283124,stimuli/card_100_transparent.png,100,9,0,9,0,1,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,,,,,,,,,,,,,,,,1,1,,,819.9228,10,up,0.5921,,1.5,0.3,"[2,1,3]",0.727811284,stimuli/card_100_transparent.png,100,10,0,10,0,1,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,,1,1,,,822.8213,11,up,0.6653,,1,0.3,"[2,1,3]",0.140169053,stimuli/card_10_transparent.png,10,11,0,11,0,1,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,,1,1,,,825.3056,12,up,0.6541,,1.5,0.3,"[2,3,1]",0.217181085,stimuli/card_0_transparent.png,0,12,0,12,0,1,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,,,,,,,,,,,,,,,,1,1,,,828.2848,13,right,0.5286,,1.5,0.3,"[2,3,1]",0.491151202,stimuli/card_100_transparent.png,100,13,0,13,0,1,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560,,,,,,,,,,,,,,,,1,1,,,831.1198,14,left,0.5179,,1.5,0.3,"[2,3,1]",0.888937253,stimuli/card_10_transparent.png,10,14,0,14,0,1,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833.952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[560],0,0,0,0,1
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,2,5,"[5,15]","[[1,2,3],[3,1,2]]",838.9534,0,right,0.6168,,1.5,0.3,"[1,2,3]",0.179829729,stimuli/card_10_transparent.png,10,0,0,0,0,1,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,2,5,,,841.9014,1,up,1.043,,1.5,0.3,"[1,2,3]",0.393776048,stimuli/card_10_transparent.png,10,1,0,1,0,1,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,2,5,,,845.2662,2,left,0.5597,,0.5,0.3,"[1,2,3]",0.167138495,stimuli/card_10_transparent.png,10,2,0,2,0,1,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,2,5,,,847.1485,3,left,1.0102,,1,0.3,"[1,2,3]",0.04834348,stimuli/card_0_transparent.png,0,3,0,3,0,1,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,2,5,,,849.9641,4,up,0.5166,,1,0.3,"[1,2,3]",0.33879516,stimuli/card_10_transparent.png,10,4,0,4,0,1,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,2,5,,,852.2972,5,right,0.5019,,1.5,0.3,"[3,1,2]",0.444953431,stimuli/card_10_transparent.png,10,5,0,5,0,1,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,2,5,,,855.1295,6,left,0.657,,1,0.3,"[3,1,2]",0.158803254,stimuli/card_10_transparent.png,10,6,0,6,0,1,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,,2,5,,,857.6128,7,up,0.5911,,0.5,0.3,"[3,1,2]",0.395766769,stimuli/card_100_transparent.png,100,7,0,7,0,1,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,,2,5,,,859.5124,8,up,0.7681,,1,0.3,"[3,1,2]",0.03889158,stimuli/card_0_transparent.png,0,8,0,8,0,1,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,,,,,,,,,,,,,,,,2,5,,,862.0954,9,up,1.4711,,1.5,0.3,"[3,1,2]",0.207950581,stimuli/card_100_transparent.png,100,9,0,9,0,1,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,,,,,,,,,,,,,,,,2,5,,,865.8969,10,up,0.6218,,1.5,0.3,"[3,1,2]",0.472502575,stimuli/card_100_transparent.png,100,10,0,10,0,1,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,,,,,,,,,,,,,,,,2,5,,,868.8426,11,right,0.5958,,1,0.3,"[3,1,2]",0.981653792,stimuli/card_10_transparent.png,10,11,0,11,0,1,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,,,,,,,,,,,,,,,,2,5,,,871.242,12,left,0.7782,,1,0.3,"[3,1,2]",0.868102345,stimuli/card_0_transparent.png,0,12,0,12,0,1,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,,,,,,,,,,,,,,,,2,5,,,873.8271,13,left,0.9042,,1.5,0.3,"[3,1,2]",0.305260814,stimuli/card_0_transparent.png,0,13,0,13,0,1,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470,,,,,,,,,,,,,,,,2,5,,,877.058,14,up,0.63,,1.5,0.3,"[3,1,2]",0.224854185,stimuli/card_100_transparent.png,100,14,0,14,0,1,,,,,,
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880.0082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[560,470]",1,0,1,0,1
,,,,reactionTimeTest2,B,2024-08-14_20h42.59.301,Slot Machine Game,2023.1.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,"[9,15]","[[1,3,2],[2,3,1]]",885.0085,0,,,,0.5,0.3,,,,,0,0,0,0,1,,,,,,
